,Algorithm,Accuracy,F1,AUC
0,PSO,0.8696915644741732,0.8563971226087523,0.9879293244277604
1,Optuna,0.8953177257525083,0.9044879244716002,0.9912301575736188
2,Optuna,0.9020066889632108,0.9033763205961548,0.9915492423885954
3,Optuna,0.8997621701969528,0.9005112911071164,0.99242593226445
4,GA,0.9075956893348196,0.9083396916091196,0.9930257441070937
5,GA,0.9086993682645856,0.9017213568505582,0.9925514405243224
6,GA,0.9020066889632108,0.9067056633217532,0.9934469128444756
7,GA,0.8997621701969528,0.9040178223446076,0.9927219298987988
8,GA,0.9053511705685618,0.9010609445073502,0.9933087580421992
9,GA,0.9097956150130062,0.9034736673706268,0.9932744176567749
