Algorithm,Model,F1,Time,params
GA,XGBoost,0.6101279120642145,2.8371920585632324,"{'n_estimators': 54, 'max_depth': 5, 'learning_rate': 0.1887839057262789, 'subsample': 0.9313633757878519, 'colsample_bytree': 0.8240034815993071, 'gamma': 1.4064263093196971, 'min_child_weight': 6.103756350053768, 'reg_lambda': 0.20456083584644447, 'reg_alpha': 0.31199897238355745}"
GA,XGBoost,0.593560500184716,2.595738649368286,"{'n_estimators': 32, 'max_depth': 5, 'learning_rate': 0.08081915914133062, 'subsample': 0.8575137751242743, 'colsample_bytree': 0.5508257815072748, 'gamma': 3.0118491512406, 'min_child_weight': 9.744434466375548, 'reg_lambda': 0.6746216692649145, 'reg_alpha': 0.07748251472358214}"
GA,XGBoost,0.6256515458188545,3.871767044067383,"{'n_estimators': 57, 'max_depth': 9, 'learning_rate': 0.24675982237274843, 'subsample': 0.7306968825346813, 'colsample_bytree': 0.9579189088827805, 'gamma': 1.1527943518148376, 'min_child_weight': 2.2641641370828247, 'reg_lambda': 0.642331912366291, 'reg_alpha': 0.9460381464499066}"
GA,XGBoost,0.6165589390320897,3.918485641479492,"{'n_estimators': 16, 'max_depth': 10, 'learning_rate': 0.03973936686519604, 'subsample': 0.8947145018636171, 'colsample_bytree': 0.8433575810108617, 'gamma': 1.94076497026754, 'min_child_weight': 0.05041230885787007, 'reg_lambda': 0.1861538859700363, 'reg_alpha': 0.6364223189424936}"
